"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"1699" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1700" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1701" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1702" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1703" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1704" "high" "high" ">24" "18-24" "<18" "<18" "closed"
"1705" "low" "high" "18-24" "<18" "<18" "<18" "open"
"1706" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1707" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1708" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1709" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1710" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1711" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1712" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1713" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1714" "high" "high" "<18" ">24" "18-24" ">24" "closed"
"1715" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1716" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1717" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1718" "high" "low" "18-24" ">24" ">24" ">24" "open"
"1719" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1720" "high" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1721" "high" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1722" "high" "low" "<18" "<18" "18-24" "18-24" "open"
"1723" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1724" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1725" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1726" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1727" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1728" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1729" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1730" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1731" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"1732" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1733" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1734" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1735" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1736" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1737" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1738" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1739" "low" "low" ">24" ">24" "<18" "<18" "closed"
"1740" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1741" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1742" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1743" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1744" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1745" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1746" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1747" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1748" "high" "low" ">24" ">24" "<18" "<18" "closed"
"1749" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1750" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1751" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1752" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1753" "high" "high" "<18" "<18" "<18" "18-24" "closed"
"1754" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1755" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1756" "high" "high" "18-24" "<18" "<18" "18-24" "open"
"1757" "high" "low" ">24" ">24" "18-24" "18-24" "closed"
"1758" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1759" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1760" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1761" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1762" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1763" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1764" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1765" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1766" "high" "low" "18-24" ">24" ">24" "18-24" "open"
"1767" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1768" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1769" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1770" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"1771" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1772" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"1773" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1774" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1775" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1776" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1777" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1778" "low" "low" "18-24" "<18" "18-24" "<18" "closed"
"1779" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1780" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1781" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1782" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1783" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1784" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1785" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1786" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1787" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1788" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1789" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1790" "high" "low" ">24" ">24" "18-24" ">24" "closed"
"1791" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1792" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1793" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"1794" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1795" "high" "low" "<18" ">24" "18-24" ">24" "open"
"1796" "low" "low" ">24" "18-24" ">24" ">24" "closed"
"1797" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1798" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"1799" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1800" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1801" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1802" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1803" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1804" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1805" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1806" "low" "high" "18-24" "18-24" "<18" "<18" "open"
"1807" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1808" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1809" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1810" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1811" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1812" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"1813" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1814" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1815" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1816" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1817" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1818" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1819" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1820" "low" "high" "18-24" "18-24" ">24" ">24" "open"
"1821" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1822" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1823" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1824" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1825" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1826" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1827" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1828" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1829" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1830" "high" "high" "<18" "18-24" "18-24" ">24" "closed"
"1831" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1832" "low" "high" "18-24" "18-24" "18-24" ">24" "open"
"1833" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1834" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1835" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1836" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1837" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1838" "low" "high" "<18" "<18" "<18" "<18" "closed"
"1839" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1840" "low" "low" "<18" ">24" ">24" ">24" "open"
"1841" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1842" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1843" "low" "high" "18-24" "18-24" "<18" "<18" "open"
"1844" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1845" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1846" "low" "low" ">24" "<18" "<18" "<18" "open"
"1847" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1848" "low" "high" "18-24" "18-24" "<18" "<18" "open"
"1849" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"1850" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1851" "low" "high" "18-24" "<18" "<18" "<18" "open"
"1852" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1853" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"1854" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1855" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1856" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1857" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1858" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1859" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1860" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1861" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1862" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1863" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"1864" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1865" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1866" "high" "high" "<18" "<18" "18-24" "<18" "closed"
"1867" "low" "low" "<18" "<18" "<18" "<18" "closed"
"1868" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1869" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1870" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1871" "high" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1872" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1873" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1874" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1875" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1876" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1877" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1878" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1879" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1880" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1881" "low" "low" ">24" "18-24" "18-24" ">24" "open"
"1882" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1883" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1884" "low" "low" "18-24" "<18" "18-24" "<18" "closed"
"1885" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1886" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1887" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"1888" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1889" "high" "high" "<18" "<18" "<18" "18-24" "closed"
"1890" "high" "low" "18-24" ">24" "18-24" ">24" "open"
"1891" "low" "high" ">24" ">24" "<18" "<18" "closed"
"1892" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1893" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1894" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1895" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1896" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1897" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1898" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1899" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1900" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1901" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1902" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1903" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1904" "low" "high" ">24" ">24" "18-24" "18-24" "closed"
"1905" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1906" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1907" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1908" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1909" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1910" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1911" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1912" "low" "low" ">24" ">24" "<18" "<18" "closed"
"1913" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1914" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1915" "high" "high" ">24" ">24" "18-24" ">24" "closed"
"1916" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1917" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1918" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"1919" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1920" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1921" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1922" "low" "low" "18-24" "<18" "<18" "<18" "closed"
"1923" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1924" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1925" "high" "high" "18-24" ">24" "<18" "<18" "closed"
"1926" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1927" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1928" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1929" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1930" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1931" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1932" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1933" "high" "high" "<18" "<18" "<18" "<18" "closed"
"1934" "low" "high" "18-24" "<18" "<18" "18-24" "open"
"1935" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"1936" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1937" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1938" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1939" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1940" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1941" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1942" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1943" "high" "high" "18-24" "<18" "<18" "<18" "open"
"1944" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1945" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1946" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1947" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"1948" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1949" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1950" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1951" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1952" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1953" "low" "high" "<18" "18-24" "18-24" "18-24" "open"
"1954" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1955" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1956" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1957" "high" "high" ">24" "18-24" "<18" "<18" "open"
"1958" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1959" "low" "high" "18-24" "<18" "18-24" "<18" "open"
"1960" "low" "high" "18-24" "18-24" "18-24" "<18" "open"
"1961" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1962" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1963" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1964" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1965" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1966" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1967" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1968" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1969" "high" "high" ">24" ">24" ">24" ">24" "open"
"1970" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1971" "high" "high" ">24" ">24" ">24" ">24" "closed"
"1972" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1973" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1974" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1975" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"1976" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1977" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1978" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1979" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1980" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1981" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1982" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"1983" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1984" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1985" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1986" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1987" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1988" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1989" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1990" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1991" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1992" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1993" "high" "low" "18-24" ">24" ">24" ">24" "open"
"1994" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1995" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1996" "low" "high" "<18" "18-24" "18-24" "18-24" "open"
"1997" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1998" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1999" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"2000" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
